kp;1857;43
pl;1836;320
ch;1815;39
fi;1809;42
bs;1808;1
sk;1797;67
se;1788;43
mz;1782;2
lv;1766;57
hu;1765;28
lu;1764;2
au;1756;50
ec;1753;1
is;1753;4
tw;1750;288
ky;1747;1
cz;1745;67
kr;1741;311
za;1733;15
hr;1733;123
si;1730;17
hk;1730;108
cn;1729;4892
jp;1729;715
nl;1720;26
us;1712;667
at;1709;18
ca;1708;130
sg;1706;43
ar;1691;88
no;1689;24
fr;1686;77
th;1683;134
es;1677;81
bg;1672;146
ro;1672;469
de;1670;88
et;1661;1
gb;1660;78
bm;1660;2
bh;1659;1
mo;1657;5
it;1657;75
vn;1653;926
rs;1651;107
br;1650;421
by;1647;678
mc;1644;2
tr;1634;275
ru;1634;4220
dk;1630;15
ph;1630;31
ua;1626;1057
am;1625;95
be;1623;37
ee;1623;27
mg;1621;5
uy;1619;3
lt;1608;81
mu;1606;4
il;1605;16
pt;1597;25
mk;1597;44
mn;1595;94
ve;1593;52
lb;1592;27
gr;1592;36
cu;1590;146
nz;1587;8
pe;1586;164
mx;1586;125
kz;1584;620
ni;1584;2
tm;1583;53
aw;1582;1
ir;1582;1115
ng;1579;4
id;1577;415
ht;1573;2
lk;1572;24
bi;1570;2
ge;1568;219
ba;1563;18
md;1557;51
in;1556;4551
zw;1556;6
bj;1555;2
cy;1551;16
al;1549;2
kg;1549;86
ie;1547;17
me;1545;8
uz;1544;199
my;1543;38
sa;1541;8
co;1539;151
tj;1533;88
sy;1532;116
iq;1517;3
cl;1516;39
eg;1508;1042
az;1503;67
do;1501;52
dz;1500;5
ga;1497;1
bd;1497;1536
bo;1496;90
ma;1492;57
ps;1487;6
ae;1479;3
gh;1473;4
py;1471;2
jo;1466;106
tn;1457;102
pk;1455;7
np;1455;3
zm;1445;2
ad;1444;1
om;1430;9
qa;1427;2
tz;1424;1
rw;1424;1
cm;1412;1
ke;1411;1
hn;1410;3
la;1406;1
sd;1406;1
pr;1400;1
ye;1399;1
cr;1391;1
